NEW OFFICE,EST_ID,NEW TASK ID,NEW ENF TASK,EST_NAME
Kukatpally,APHYD0059887000,30104,70101,MAX WELL LOGISTICS
Kukatpally,APHYD0006995000,30105,70101,"INDO FORCE BUREAU PRIVATE  LIMITED.,"
Kukatpally,APHYD0019792000,30201,70101,"BHAGYANAGAR INDIA LIMITED,"
Kukatpally,APHYD0081847000,30202,70101,KAVERI MICROTECK PRIVATE LIMITED
Kukatpally,APHYD0082058000,30203,70101,LIMAGRAIN INDIA PRIVATE LIMITED
Kukatpally,APHYD2448976000,30203,70101,K J LIFESTYLE LLP
Kukatpally,APHYD0081006000,30202,70101, AGROTECH FOODS LIMITED
Kukatpally,APHYD0037404000,30201,70101,SREE ENTERPRISES
Kukatpally,APHYD1983862000,30105,70101,ASIAN MULTIPLEXES PRIVATE LIMITED
Kukatpally,APHYD0043937000,30104,70101,MODI BUILDERS &REALTORS PVT.LTD
Kukatpally,APHYD0022080000,30103,70101,"PROFESSIONAL COURIERS,"
Kukatpally,APHYD1712850000,30102,70101,IREP DHAN PRIVATE LIMITED
Kukatpally,APHYD0063738000,30101,70101,DRS DILIP ROAD LINES (P) LTD.
Kukatpally,APHYD0064666000,30205,70101,"ASS DIRECT VETERINARY SECTION,NORTH ZONE GHMC"
Kukatpally,APHYD2849596000,30102,70101,ADVANCED EDUCATIONAL ACTIVITIES PRIVATE LIMITED
Kukatpally,APHYD0061387000,30103,70101,RELLENO INSURANCE BROKING SERVICES PRIVATE LIMITED
Kukatpally,APHYD1529897000,30104,70101,FOUNDATION FOR ECONOMIC AND EDUCATIONAL DEVELOPMENT
Kukatpally,APHYD0034806000,30105,70101,S V FABRICS PVT LTD(WHOLE SALE CLOTH MERCHANT)
Kukatpally,APHYD0035585000,30201,70101,TALWAR MOBILES PVT.LTD
Kukatpally,APHYD0082208000,30202,70101,GREATER HYDERABAD MUNICIPAL CORPORATION
Kukatpally,APHYD0018699000,30203,70101,SURYAVANSHI SPINNING MILLS LIMITED
Kukatpally,APHYD2093755000,30203,70101,SSISPL OGL BYD CONSORTIUM
Kukatpally,APHYD0051448000,30202,70101,"M\S.FURNITURE WORLD,"
Kukatpally,APHYD0032341000,30201,70101,POKARNA GRANITES LTD
Kukatpally,APHYD1959454000,30105,70101,JVG CONSULTING
Kukatpally,APHYD0011891000,30104,70101,ASACO PRIVATE LIMITED
Kukatpally,APHYD1738683000,30103,70101,SRI LALITHA CANTEEN
Kukatpally,APHYD1813317000,30102,70101,WELSPUN GLOBAL BRANDS LIMITED
Kukatpally,APHYD1559452000,30205,70101,RITHIKA SUITS PRIVATE LIMITED
Kukatpally,APHYD0044250000,30205,70101,TARUNI CLOTHING PRIVATE LIMITED
Kukatpally,APHYD0051398000,30102,70101,VERINON TECHNOLOGY SOLUTIONS PRIVATE LIMITED
Kukatpally,APHYD1975825000,30103,70101,BHAGYANAGAR COPPER PRIVATE LIMITED
Kukatpally,APHYD0072497000,30104,70101,LCGC CHROM CONSUMABLES LLP
Kukatpally,APHYD1034312000,30105,70101,FORTUNE COMMERCIAL VEHICLES
Kukatpally,APHYD0081747000,30201,70101, ADVANTAGE ONE TAX CONSULTING PVT LTD
Kukatpally,APHYD2319075000,30202,70101,HAWK SECURITY SERVICES
Kukatpally,APHYD1071527000,30203,70101,FUTRAN TECH SOLUTIONS PRIVATE LIMITED
Kukatpally,APHYD2265816000,30203,70101,SYMBIOSIS HR SOLUTIONS
Kukatpally,APHYD0032064000,30202,70101,RCI LOGISTICS PVT LTD
Kukatpally,APHYD0064046000,30201,70101,SRINIVASA EDIFICE PRIVATE LIMITED
Kukatpally,APHYD2768720000,30105,70101,ASHOK KUMAR SONI SECURITY AGENCY
Kukatpally,APHYD0064805000,30104,70101,G.V.K.POWER(GOINDWAL SAHIB)LIMITED
Kukatpally,APHYD0034811000,30103,70101,BUTTA HOSPITALITIES PRIVATE.LIMITED
Kukatpally,APHYD0039600000,30102,70101,TRINITI ADVANCED SOFTWARE LABS PRIVATE LIMITED
Kukatpally,APHYD2912648000,30101,70101,ADONIS INC
Kukatpally,APHYD0056852000,30101,70101,PLATINUS TECHNOLOGIES PVT LTD
Kukatpally,APHYD0081366000,30102,70101,VALMIKI CONSULTANTS PVT LTD
Kukatpally,APHYD1623139000,30103,70101,ALLCLOUD ENTERPRISE SOLUTIONS PRIVATE LIMITED
Kukatpally,APHYD3062181000,30104,70101,TQ CERT SERVICES PRIVATE LIMITED
Kukatpally,APHYD2882023000,30105,70101,SCRIBE EMR SYSTEMS PRIVATE LIMITED
Kukatpally,APHYD0006455000,30201,70101,N SAI BABA & CO
